Employee Identifier,Salaries,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
5435,111893.03,0,111893.03,21627.63,12918.24,8719.52,43265.39,155158.42
9566,31917.22,432,32349.22,6860.86,3788.4,2695.12,13344.38,45693.6
374,111877.83,699,112576.83,21753.74,12918.24,9246.41,43918.39,156495.22
47846,110446.46,648,111094.46,21489.24,12761.26,9049.15,43299.65,154394.11
49066,20027.4,0,20027.4,4269.84,2775.04,1592.67,8637.55,28664.95
56058,111877.85,648,112525.85,21742.87,12918.24,9223.44,43884.55,156410.4
15324,62060.35,3264.1,65324.45,12688.09,6990.51,5225.58,24904.18,90228.63
1673,91190.33,192,91382.33,17573.61,10445.36,7260.99,35279.96,126662.29
23110,73211.03,4960.83,78171.86,15768.21,8845.41,6073.81,30687.43,108859.29
27707,111678,7833.24,119511.24,23095.94,12894.32,9499.09,45489.35,165000.59
34636,68526.72,5600.46,74127.18,14300.11,7750.94,6178.52,28229.57,102356.75
43233,111877.86,7992.27,119870.13,23165.26,12918.24,9505.38,45588.88,165459.01
45355,111914.9,6067.24,117982.14,22799.34,12918.24,9351.91,45069.49,163051.63
545,111877.88,6067.25,117945.13,22792.79,12918.24,9444.39,45155.42,163100.55
16174,61873.1,2463.16,64336.26,11733.11,9329.85,5307.35,26370.31,90706.57
18716,66717.3,0,66717.3,6086.9,11339.35,5517.78,22944.03,89661.33
227,90702.49,0,90702.49,17798.9,12918.24,7498.9,38216.04,128918.53
23839,11420,0,11420,0,1435.36,928.02,2363.38,13783.38
23880,66748.78,6708.62,73457.4,12693.27,9569.07,6029.79,28292.13,101749.53
2569,64309.58,11967.77,76277.35,12242.04,9664.76,6251.01,28157.81,104435.16
26037,85720.58,0,85720.58,16806.05,12918.24,7086.79,36811.08,122531.66
29996,70166.93,6310.93,76477.86,13490.41,10597.75,6306.78,30394.94,106872.8
31477,51054.49,7131.89,58186.38,9345.98,7176.8,4766.47,21289.25,79475.63
36453,58972.3,0,58972.3,4260.83,9999.68,4860.57,19121.08,78093.38
39189,85532,0,85532,16766.1,12918.24,7070.65,36754.99,122286.99
39364,13418.5,0,13418.5,0,2248.73,1088.55,3337.28,16755.78
45766,90391.08,0,90391.08,17732.93,12918.24,7154.55,37805.72,128196.8
47410,19985,0,19985,0,3349.18,1632.35,4981.53,24966.53
47830,90309.13,0,90309.13,17715.56,12918.24,7404.16,38037.96,128347.09
51731,21412.5,0,21412.5,0,3588.4,1745.65,5334.05,26746.55
52130,23036,0,23036,0,3109.95,1893.77,5003.72,28039.72
53883,85250.78,0,85250.78,16706.5,12918.24,7007.41,36632.15,121882.93
55165,78195.2,0,78195.2,9857.95,0,6426.82,16284.77,94479.97
56659,64793.5,0,64793.5,6086.9,11004.43,5365.64,22456.97,87250.47
5711,2426.75,0,2426.75,0,406.69,192.93,599.62,3026.37
7621,55115.56,0,55115.56,3948.87,9347.78,4538.04,17834.69,72950.25
8460,24267.5,0,24267.5,0,4066.86,1994.58,6061.44,30328.94
10768,110938.07,648,111586.07,21314.31,12138.43,9249.01,42701.75,154287.82
31361,117829.78,648,118477.78,22631.07,12918.24,9464.71,45014.02,163491.8
11322,129549.78,648,130197.78,24874.71,12918.24,9742.35,47535.3,177733.08
40883,129549.79,648,130197.79,24874.71,12918.24,9677.77,47470.72,177668.51
49572,129549.78,648,130197.78,24874.71,12918.24,9682.63,47475.58,177673.36
45353,9679.97,0,9679.97,0,0,769.56,769.56,10449.53
263,10829.85,0,10829.85,2308.93,1638.7,860.97,4808.6,15638.45
39220,53234.03,0,53234.03,9693.88,6937.57,4178.9,20810.35,74044.38
42764,40732.32,0,40732.32,7417.32,5262.99,3349.87,16030.18,56762.5
35101,107211.33,312,107523.33,21077.07,12918.24,8826.88,42822.19,150345.52
38913,105954.34,648,106602.34,20908.59,12759.76,8817.75,42486.1,149088.44
45080,107211.33,0,107211.33,21010.51,12918.24,8866.15,42794.9,150006.23
38947,95531.57,0,96088.73,18716.53,12918.24,7943.27,39578.04,135666.77
48142,81147.38,0,81756.89,15917.15,12918.24,6712.76,35548.15,117305.04
48882,95531.55,648,97421.21,18843.4,12918.24,7806.93,39568.57,136989.78
11016,81897.31,1400,83297.31,15290.52,8287.71,6802.19,30380.42,113677.73
17148,130201.68,648,130849.68,24998.73,12918.24,9763.09,47680.06,178529.74
235,0,4724.81,4724.81,0,0,361.45,361.45,5086.26
28819,130136.85,0,130136.85,24863.5,12918.25,9747.59,47529.34,177666.19
